epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,293.362,0.84531,0.48118,1.05714,0.9366,0.96396,0.98025,0.65833,1.18782,0.50977,1.4145,0.0003862,0.0003862,0.0003862
64,297.794,0.83592,0.45587,1.06617,0.98126,0.94335,0.98665,0.67682,1.20498,0.5,1.43844,0.0003763,0.0003763,0.0003763
65,302.188,0.81878,0.4711,1.03647,0.97294,0.97159,0.98999,0.67775,1.19719,0.4725,1.44713,0.0003664,0.0003664,0.0003664
66,306.606,0.80871,0.43532,1.04071,0.94849,0.98198,0.98965,0.69136,1.17397,0.47202,1.42502,0.0003565,0.0003565,0.0003565
67,311.072,0.84209,0.47516,1.05351,0.95563,0.97019,0.98746,0.6779,1.20213,0.4962,1.43272,0.0003466,0.0003466,0.0003466
68,315.706,0.81612,0.44163,1.04996,0.92743,0.98198,0.98645,0.66909,1.15245,0.49596,1.41088,0.0003367,0.0003367,0.0003367
69,320.165,0.81189,0.43482,1.05286,0.93877,0.96685,0.98362,0.65524,1.15742,0.50557,1.44035,0.0003268,0.0003268,0.0003268
70,324.437,0.82182,0.45657,1.04264,0.9494,0.94595,0.98332,0.64811,1.19829,0.52566,1.51111,0.0003169,0.0003169,0.0003169
71,328.642,0.80148,0.42907,1.02935,0.95484,0.95244,0.98821,0.65626,1.17209,0.49575,1.45453,0.000307,0.000307,0.000307
72,333.079,0.76956,0.4272,1.00511,0.97884,0.93694,0.98764,0.65552,1.20451,0.49575,1.48601,0.0002971,0.0002971,0.0002971
73,337.487,0.83526,0.45541,1.0435,0.98091,0.926,0.986,0.66676,1.19561,0.47282,1.44481,0.0002872,0.0002872,0.0002872
74,342.032,0.8377,0.44392,1.05605,0.97044,0.91892,0.9858,0.67053,1.16091,0.46534,1.43439,0.0002773,0.0002773,0.0002773
75,346.428,0.81234,0.44061,1.05569,0.94686,0.96308,0.9846,0.66639,1.21046,0.47438,1.49261,0.0002674,0.0002674,0.0002674
76,350.886,0.79429,0.43132,1.01133,0.9373,0.94595,0.98381,0.6711,1.14474,0.47091,1.42698,0.0002575,0.0002575,0.0002575
77,355.167,0.74876,0.40888,0.99773,0.92856,0.96396,0.98442,0.6554,1.19836,0.50242,1.48121,0.0002476,0.0002476,0.0002476
78,359.567,0.72388,0.4128,0.99017,0.93093,0.97143,0.98034,0.6539,1.17522,0.528,1.46436,0.0002377,0.0002377,0.0002377
79,363.99,0.80046,0.42739,1.02888,0.91873,0.92793,0.97219,0.64741,1.19805,0.57518,1.47649,0.0002278,0.0002278,0.0002278
80,368.424,0.76414,0.42489,1.01233,0.93897,0.97018,0.98216,0.66071,1.19084,0.49099,1.45623,0.0002179,0.0002179,0.0002179
81,372.965,0.7569,0.41091,1.0163,0.93578,0.98198,0.98604,0.6667,1.19981,0.47486,1.48495,0.000208,0.000208,0.000208
